ticker,year,fcf,total_debt,tax_rate,interest_expense,shares_outstanding,market_cap,beta,share_price
BALD-B.ST,2024,4684000000.0,135470000000.0,0.223,5383000000.0,1190000000,81776803840,1.51,76.80000305175781
BALD-B.ST,2023,4670000000.0,132066000000.0,0.14,4570000000.0,1190000000,81776803840,1.51,71.5199966430664
BALD-B.ST,2022,4912000000.0,131275000000.0,0.154,2327000000.0,1190000000,81776803840,1.51,48.52000045776367
BALD-B.ST,2021,1456000000.0,116127000000.0,0.14,1820000000.0,1190000000,81776803840,1.51,108.63333129882812
BALD-B.ST,2020,,,,,1190000000,81776803840,1.51,71.48332977294922
CORE-B.ST,2024,920000000.0,30560000000.0,0.122,1301000000.0,1685190016,8281024000,1.479,6.620090961456299
CORE-B.ST,2023,718000000.0,32906000000.0,0.185,1477000000.0,1685190016,8281024000,1.479,10.317924499511719
CORE-B.ST,2022,2232000000.0,46494000000.0,0.22,1170000000.0,1685190016,8281024000,1.479,7.666347503662109
CORE-B.ST,2021,1190000000.0,45993000000.0,0.208905,708000000.0,1685190016,8281024000,1.479,28.91071891784668
CORE-B.ST,2020,,,,,1685190016,8281024000,1.479,16.09931182861328
SAGA-B.ST,2024,3300000000.0,34847000000.0,0.079902,897000000.0,345041984,76086992896,1.515,222.44073486328125
SAGA-B.ST,2023,3305000000.0,30315000000.0,0.206,724000000.0,345041984,76086992896,1.515,269.8371276855469
SAGA-B.ST,2022,3169000000.0,32218000000.0,0.177307,449000000.0,345041984,76086992896,1.515,227.21337890625
SAGA-B.ST,2021,2363000000.0,26269000000.0,0.069809,414000000.0,345041984,76086992896,1.515,290.2110900878906
SAGA-B.ST,2020,,,,,345041984,76086992896,1.515,160.18450927734375
SBB-B.ST,2024,-270000000.0,53259000000.0,0.142319,1731000000.0,1857760000,9285085184,2.668,4.5304999351501465
SBB-B.ST,2023,1275000000.0,58264000000.0,0.113551,1798000000.0,1857760000,9285085184,2.668,3.981370210647583
SBB-B.ST,2022,2120000000.0,83798000000.0,0.042864,924000000.0,1857760000,9285085184,2.668,10.215696334838867
SBB-B.ST,2021,4612000000.0,79467000000.0,0.13,282000000.0,1857760000,9285085184,2.668,36.679439544677734
SBB-B.ST,2020,,,,,1857760000,9285085184,2.668,15.488933563232422
